"filename","p1","p1w","p2w","p2","date","time"
"2021-02-08 11.15.16 [Online Round 1] @NNNxDario, Rasi9nin - dario dagasst.log","NNNxDario",1,0,"Rasi9nin",2021-02-08,"11:15:16"
"2021-02-08 11.45.29 [Online Round 2] @NNNxDario, Rasi9nin - dario dagasst.log","NNNxDario",1,0,"Rasi9nin",2021-02-08,"11:45:29"
"2021-02-08 12.06.49 [Online Round 1] @NNNxDario, MIGHTY`taner - dario dagasst.log","NNNxDario",1,0,"MIGHTY`taner",2021-02-08,"12:06:49"
"2021-02-08 12.30.24 [Online Round 2] @NNNxDario, MIGHTY`taner - dario dagasst.log","NNNxDario",1,0,"MIGHTY`taner",2021-02-08,"12:30:24"
"2021-02-08 12.42.48 [Online Round 1] @NNNxDario, MIGHTY`taner - dario dagasst.log","NNNxDario",1,0,"MIGHTY`taner",2021-02-08,"12:42:48"
"2021-02-08 12.55.34 [Online Round 2] @NNNxDario, MIGHTY`taner - dario dagasst.log","NNNxDario",1,0,"MIGHTY`taner",2021-02-08,"12:55:34"
"2021-02-08 17.59.02 [Online Round 1] @NNNxDario, rzet.log","NNNxDario",1,0,"rzet",2021-02-08,"17:59:02"
"2021-02-08 18.18.49 [Online Round 2] @NNNxDario, rzet.log","NNNxDario",1,0,"rzet",2021-02-08,"18:18:49"
"2021-02-08 20.12.09 [Online Round 1] @NNNxDario, FFF.log","NNNxDario",1,0,"FFF",2021-02-08,"20:12:09"
"2021-02-08 20.26.27 [Online Round 2] @NNNxDario, FFF.log","NNNxDario",1,0,"FFF",2021-02-08,"20:26:27"
"2021-02-08 21.00.57 [Online Round 1] @NNNxDario, oneVSone.log","NNNxDario",1,0,"oneVSone",2021-02-08,"21:00:57"
"2021-02-08 21.13.08 [Online Round 2] @NNNxDario, oneVSone.log","NNNxDario",1,0,"oneVSone",2021-02-08,"21:13:08"
"2021-02-08 21.49.40 [Online Round 1] @NNNxDario, Phi.log","NNNxDario",1,0,"Phi",2021-02-08,"21:49:40"
"2021-02-08 22.04.40 [Online Round 2] @NNNxDario, Phi.log","NNNxDario",1,0,"Phi",2021-02-08,"22:04:40"
"2021-02-08_15.46.31_Online_Round_1_chesnut_Veals.log","chesnut",0,1,"Veals",2021-02-08,"15:46:31"
"2021-02-08_16.06.21_Online_Round_2_chesnut_Veals.log","chesnut",1,0,"Veals",2021-02-08,"16:06:21"
"2021-02-08_16.18.52_Online_Round_3_chesnut_Veals.log","chesnut",0,1,"Veals",2021-02-08,"16:18:52"
