dateat,score_confirmer,score_confirmed,user_confirmer,user_confirmed
2021-10-17 12:48:00,2,0,chuvash,Senator
2021-10-16 19:26:37,2,0,chuvash,oldsock
2021-10-16 18:01:26,2,0,Albus,chuvash
2021-10-16 17:23:21,2,1,Silaneo,Albus
2021-10-16 15:23:27,2,0,chuvash,Silaneo
2021-10-16 15:00:11,2,0,Albus,GonZALO
2021-10-16 13:29:11,2,0,Albus,oldsock
2021-10-16 12:39:03,2,1,chuvash,StJimmy
2021-10-16 12:32:56,2,0,Albus,oldsock
2021-10-16 09:15:46,2,1,Albus,oldsock
2021-10-15 21:16:31,2,0,Free,oldsock
2021-10-15 19:33:59,2,0,chuvash,oldsock
2021-10-15 18:32:00,3,0,chuvash,Silaneo
2021-10-15 17:01:30,2,0,Silaneo,oldsock
2021-10-14 19:12:28,2,0,Rafka,Silaneo
2021-10-14 17:43:15,3,1,chuvash,Chicken23
2021-10-13 23:04:00,2,1,Chicken23,StJimmy
2021-10-13 21:49:02,2,1,Chicken23,Lupastic
2021-10-13 20:52:53,2,0,Rudolf289,Dieego98
2021-10-13 19:57:27,2,1,Rafka,Chicken23
2021-10-13 17:45:09,2,0,djongador,oldsock
2021-10-13 16:30:27,2,0,chuvash,oldsock
2021-10-13 15:23:08,2,1,Psykologi,oldsock
2021-10-12 19:24:59,2,0,chuvash,Psykologi
2021-10-12 18:38:03,2,0,djongador,oldsock
2021-10-12 18:09:46,3,0,chuvash,Silaneo
2021-10-12 16:45:12,2,1,Psykologi,Leoric
2021-10-12 15:27:12,2,0,chuvash,Psykologi
2021-10-12 12:29:38,2,0,Rafka,Leoric
2021-10-11 21:38:09,2,0,Rafka,oldsock
2021-10-11 20:08:28,2,0,oldsock,djongador
2021-10-11 19:35:50,3,2,chuvash,Silaneo
2021-10-11 19:14:23,1,2,Psykologi,Koras
2021-10-11 16:02:49,2,0,Psykologi,oldsock
2021-10-11 16:01:44,2,0,Psykologi,oldsock
2021-10-10 19:38:09,3,0,chuvash,StJimmy
2021-10-10 19:24:37,2,0,Silaneo,oldsock
2021-10-10 15:21:33,2,1,Rafka,Master
2021-10-10 08:28:42,2,0,Master,oldsock
2021-10-10 00:55:01,2,0,djongador,oldsock
2021-10-09 19:03:36,3,1,chuvash,Silaneo
2021-10-09 01:37:12,2,0,Dieego98,oldsock
2021-10-08 21:12:20,3,0,Dieego98,oldsock
2021-10-08 21:10:29,3,0,Dieego98,oldsock
2021-10-08 19:33:54,2,0,FrancisNgannoy,oldsock
2021-10-08 17:25:10,2,1,Silaneo,Lupastic
2021-10-07 18:33:19,2,1,Psykologi,djongador
2021-10-07 16:56:59,2,1,Lupastic,Psykologi
2021-10-07 15:04:19,2,0,Psykologi,oldsock
2021-10-06 18:33:32,2,0,Senator,djongador
2021-10-06 16:41:16,2,1,Psykologi,Dieego98
2021-10-06 16:40:43,2,1,Psykologi,djongador
2021-10-06 04:56:06,2,0,chuvash,Free
2021-10-06 01:52:49,2,0,Dieego98,djongador
2021-10-06 00:54:19,2,0,oldsock,Dieego98
2021-10-06 00:01:53,2,1,Dieego98,Chicken23
2021-10-05 21:36:00,2,0,oldsock,Free
2021-10-05 21:21:03,3,0,Chicken23,StJimmy
2021-10-05 21:17:06,2,0,Rafka,Dieego98
2021-10-04 20:17:47,2,0,Dieego98,Lupastic
2021-10-04 20:17:10,2,0,Dieego98,oldsock
2021-10-04 01:05:53,2,1,Dieego98,djongador
