dateat,score_confirmer,score_confirmed,user_confirmer,user_confirmed,upload_id
2022-04-28 20:07:18,2,1,Kayz,Kilobyte,23341
2022-04-28 16:50:24,3,1,Silaneo,Senator,23340
2022-04-26 16:37:10,2,0,Psykologi,Silaneo,23339
2022-04-25 12:07:32,2,0,Lupastic,DurczyN,23338
2022-04-24 12:39:05,2,0,Rafka,Silaneo,23337
2022-04-23 19:43:00,2,0,Perdunok,EPI,23336
2022-04-23 18:24:33,2,0,djongador,EPI,23335
2022-04-23 17:37:32,2,1,djongador,Ferenando,23334
2022-04-22 11:06:53,2,1,Perdunok,DurczyN,23332
2022-04-21 20:48:50,2,0,Kilobyte,Perdunok,23331
2022-04-20 18:09:10,2,0,Perdunok,EPI,23330
2022-04-20 18:07:52,1,0,EPI,CzarnyKot,23329
2022-04-20 16:06:44,2,0,EPI,Puschkin,23328
2022-04-20 16:05:03,2,0,EPI,DurczyN,23327
2022-04-20 15:46:14,2,0,Psykologi,EPI,23326
2022-04-19 16:39:48,2,0,Lupastic,EPI,23325
2022-04-19 12:13:54,2,0,Rafka,CzarnyKot,23324
2022-04-18 16:54:37,1,0,Perdunok,SIBASA,23323
2022-04-18 09:07:58,3,2,Rafka,KinslayeR,23321
2022-04-17 17:02:46,2,0,DarK'X'LorD,Lupastic,23320
2022-04-16 15:07:12,2,0,Master,EPI,23319
2022-04-14 21:10:22,2,1,Perdunok,FrancisNgannoy,23318
2022-04-13 21:18:19,2,0,Perdunok,LacLac,23317
2022-04-13 20:23:49,2,0,EPI,Perdunok,23315
2022-04-13 18:46:19,2,1,Rafka,Perdunok,23314
2022-04-13 18:14:15,2,0,EPI,CzarnyKot,23313
2022-04-12 13:16:59,3,0,Master,KinslayeR,23312
2022-04-12 08:36:31,2,0,Master,CzarnyKot,23311
2022-04-11 20:18:25,2,1,Perdunok,CzarnyKot,23310
2022-04-11 19:09:27,2,0,Free,Perdunok,23309
2022-04-11 11:26:54,2,0,Rafka,CzarnyKot,23308
2022-04-10 23:29:29,2,0,Perdunok,DurczyN,23307
2022-04-10 21:47:37,3,2,Lupastic,Perdunok,23306
2022-04-09 21:02:22,3,2,KinslayeR,Master,23305
2022-04-09 13:24:17,2,0,KinslayeR,Silaneo,23304
2022-04-07 20:08:34,3,0,KinslayeR,Master,23303
2022-04-07 19:57:22,1,0,Perdunok,CzarnyKot,23302
2022-04-07 19:54:14,2,0,Perdunok,VdM2103,23301
2022-04-07 18:50:16,2,1,KinslayeR,Psykologi,23300
2022-04-07 18:49:08,2,1,KinslayeR,Psykologi,23299
2022-04-07 18:02:04,2,1,Master,DarK'X'LorD,23298
2022-04-06 20:48:50,2,0,EPI,Snake,23297
2022-04-06 18:15:05,2,1,djongador,EPI,23296
