dateat,score_confirmer,score_confirmed,user_confirmer,user_confirmed,upload_id
2022-06-07 13:44:49,2,0,Perdunok,DurczyN,23424
2022-06-06 21:10:41,2,0,Perdunok,DurczyN,23423
2022-06-06 18:58:25,2,0,Rafka,Jexusjex,23422
2022-06-05 16:59:28,2,1,Silaneo,chuvash,23421
2022-06-04 11:54:27,2,1,Leoric,Silaneo,23420
2022-06-03 23:17:37,2,1,djongador,Silaneo,23419
2022-06-03 22:21:25,2,1,Psykologi,Kilobyte,23418
2022-06-02 18:08:57,2,0,djongador,Jexusjex,23417
2022-06-01 23:45:18,2,0,StJimmy,djongador,23416
2022-06-01 21:34:08,2,1,Rafka,StJimmy,23415
2022-06-01 17:45:53,0,2,StJimmy,Jago,23413
2022-06-01 16:56:08,2,1,Silaneo,StJimmy,23412
2022-06-01 10:16:23,2,1,Perdunok,SIBASA,23411
2022-05-31 19:22:21,2,0,Rafka,djongador,23410
2022-05-31 16:26:26,2,0,Psykologi,FrancisNgannoy,23409
2022-05-31 11:36:17,2,0,Rafka,Silaneo,23408
2022-05-28 17:02:56,2,0,chuvash,Dieego98,23405
2022-05-27 15:32:10,3,0,chuvash,Silaneo,23404
2022-05-26 16:55:44,2,0,chuvash,Silaneo,23403
2022-05-26 00:18:27,1,4,StJimmy,Dieego98,23402
2022-05-25 18:06:43,2,0,StJimmy,Dieego98,23401
2022-05-25 16:53:30,2,0,chuvash,Silaneo,23400
2022-05-25 15:51:41,2,0,chuvash,Silaneo,23399
2022-05-24 16:05:46,2,1,Perdunok,EPI,23398
2022-05-24 13:29:50,2,0,Silaneo,Perdunok,23397
2022-05-23 21:03:03,2,1,Rafka,DurczyN,23396
2022-05-23 18:31:11,2,0,djongador,EPI,23395
2022-05-23 18:02:32,2,1,chuvash,Silaneo,23394
2022-05-23 01:39:41,2,1,Perdunok,djongador,23393
2022-05-22 22:17:57,2,1,EPI,Perdunok,23392
2022-05-22 18:22:18,2,0,Silaneo,EPI,23391
2022-05-22 17:23:18,2,0,EPI,StJimmy,23390
2022-05-22 16:21:59,1,2,StJimmy,Silaneo,23389
2022-05-22 14:53:20,2,0,chuvash,StJimmy,23388
2022-05-22 12:32:35,2,1,Perdunok,EPI,23387
2022-05-22 10:09:16,1,0,EPI,Szwagier,23386
2022-05-20 19:51:14,2,0,Psykologi,EPI,23385
2022-05-20 18:48:31,2,0,EPI,DurczyN,23384
2022-05-20 18:47:12,1,0,EPI,Jexusjex,23383
2022-05-20 18:15:15,2,0,EPI,Puschkin,23382
2022-05-20 17:34:07,2,0,chuvash,Silaneo,23381
2022-05-19 17:13:59,2,0,chuvash,djongador,23380
2022-05-19 11:50:39,2,0,Rafka,Ledan,23379
2022-05-18 12:51:30,2,0,Rafka,Silaneo,23378
2022-05-17 18:42:39,1,0,Master,Perdunok,23377
2022-05-13 20:45:25,2,0,Perdunok,SIBASA,23376
2022-05-13 18:48:35,2,0,Perdunok,CzarnyKot,23375
2022-05-13 18:45:04,2,1,Perdunok,djongador,23374
2022-05-13 17:29:28,2,0,djongador,Perdunok,23373
2022-05-12 22:25:42,2,0,SIBASA,Perdunok,23372
2022-05-12 18:14:45,2,0,djongador,Perdunok,23371
2022-05-12 17:23:27,2,0,Psykologi,djongador,23370
2022-05-11 17:41:01,2,1,chuvash,Silaneo,23369
2022-05-11 13:40:07,2,1,Master,Silaneo,23368
2022-05-09 21:17:02,2,1,Perdunok,EPI,23367
2022-05-09 19:25:52,2,0,djongador,EPI,23366
2022-05-09 18:09:19,2,0,EPI,Perdunok,23365
2022-05-09 11:24:56,2,0,Rafka,Perdunok,23364
2022-05-08 17:59:41,2,1,Silaneo,djongador,23363
2022-05-08 15:49:20,2,0,Kayz,EPI,23362
2022-05-08 13:36:08,2,1,Perdunok,EPI,23361
2022-05-08 13:28:44,2,0,Rafka,Perdunok,23360
2022-05-08 11:47:05,2,1,Silaneo,Rafka,23359
2022-05-08 09:06:43,2,0,Master,Kilobyte,23358
2022-05-07 21:35:28,2,1,Perdunok,Ypslon,23357
2022-05-07 18:54:19,2,1,Psykologi,Perdunok,23356
2022-05-07 15:47:09,2,0,Psykologi,Silaneo,23355
2022-05-05 21:28:13,2,0,Master,Jago,23354
2022-05-05 19:16:55,2,1,Silaneo,djongador,23353
2022-05-04 17:58:27,2,1,Psykologi,djongador,23351
2022-05-04 17:06:02,1,0,Perdunok,Ferenando,23350
2022-05-04 16:57:49,3,1,Master,Perdunok,23349
2022-05-03 18:37:56,2,1,djongador,Silaneo,23348
2022-05-03 15:35:30,2,0,Psykologi,Silaneo,23347
2022-05-03 12:57:31,2,0,Silaneo,Perdunok,23346
2022-05-03 11:36:21,2,0,Rafka,Silaneo,23345
2022-05-02 17:24:23,2,0,Psykologi,Silaneo,23344
2022-05-01 16:48:26,2,0,Psykologi,Silaneo,23343
