Rank	Nickname	Points	Rounds	Games	Activity	Streak
1	chuvash	415.8	134-(38)	61-(6)	0 very poor	1 lost
2	Rafka	382.5	75-(18)	36-(4)	4 poor	2 won
3	Dario	376.3	143-(41)	67-(12)	3 poor	9 won
4	Albus	349.5	159-(108)	80-(47)	0 very poor	5 won
5	PavelB	290.3	77-(22)	28-(7)	0 very poor	6 won
6	Psykologi	268	72-(53)	31-(24)	7 mediocre	1 lost
7	Siwy	256.4	50-(15)	23-(6)	0 very poor	4 won
8	Kano	240.5	50-(29)	21-(10)	2 poor	2 won
9	Senator	230.7	45-(47)	19-(18)	9 good	1 lost
10	Silaneo	193.1	34-(59)	13-(27)	0 very poor	1 won
11	Dieego98	189.4	70-(88)	28-(36)	12 very good!	1 won
12	EPI	179.5	97-(71)	45-(30)	14 excellent!!	1 won
13	Khamski	150.2	29-(50)	13-(22)	0 very poor	2 won
14	Leoric	148.7	50-(83)	20-(39)	14 excellent!!	1 lost
15	Thouson	139.6	12-(15)	4-(6)	1 very poor	1 lost
16	MegaAdnan	130.1	15-(26)	7-(13)	0 very poor	5 lost
17	Yagelon	120.9	25-(27)	10-(12)	0 very poor	3 lost
18	FrancisNgannoy	116.7	12-(8)	6-(4)	2 poor	2 lost
19	TerRoR	107.6	6-(9)	2-(4)	0 very poor	1 lost
20	Nakata8989	107.4	73-(170)	26-(77)	0 very poor	1 lost
21	djongador	107.1	21-(53)	9-(26)	3 poor	1 won
22	Kilobyte	107	4-(9)	2-(4)	1 very poor	1 won
23	Gufron	100	21-(58)	9-(31)	2 poor	5 lost
24	Vojske	97.26	5-(4)	2-(2)	0 very poor	1 lost
25	tadeusz	94.82	7-(5)	3-(2)	0 very poor	1 lost
26	Eray	92.56	4-(3)	2-(1)	0 very poor	1 won
27	bitermer	92.02	4-(2)	2-(1)	0 very poor	2 won
28	Abegod	78.96	1-(2)	0-(1)	1 very poor	1 lost
29	SIBASA	75.74	10-(38)	2-(12)	0 very poor	7 lost
30	Chicken23	74.8	4-(6)	2-(3)	0 very poor	3 lost
31	Korydex	74.68	1-(3)	0-(1)	0 very poor	1 lost
32	Ledan	55.36	6-(36)	3-(19)	0 very poor	7 lost
33	lopez185	54.28	5-(59)	0-(30)	3 poor	30 lost
34	ILYXA	52.58	1-(6)	0-(3)	0 very poor	3 lost
35	dibz	51.08	0-(4)	0-(2)	0 very poor	2 lost
36	Danelius	47.83	13-(29)	3-(11)	0 very poor	4 lost
37	Perdunok	40.14	10-(10)	4-(5)	0 very poor	1 lost
38	lacoste	39.97	2-(4)	1-(2)	0 very poor	2 lost
39	Francisco101210	39.69	0-(1)	0-(1)	0 very poor	1 lost
40	VdM2103	35.24	0-(10)	0-(6)	0 very poor	6 lost
41	J040	34.54	0-(4)	0-(2)	0 very poor	2 lost
42	Kicek	34.54	0-(4)	0-(2)	0 very poor	2 lost
43	Irtis	33.68	0-(1)	0-(1)	0 very poor	1 lost
44	Ja-Joe	26.96	0-(2)	0-(1)	0 very poor	1 lost
45	j0hny	26.96	0-(2)	0-(1)	0 very poor	1 lost
46	DarK'X'LorD	18.4	2-(0)	1-(0)	0 very poor	1 won
47	Szwagier	16.26	0-(3)	0-(3)	1 very poor	3 lost
48	Tomix	14.48	0-(1)	0-(1)	1 very poor	1 lost
49	CzlowiekKredens	10.35	0-(6)	0-(3)	0 very poor	3 lost
50	LUGER	4.463	0-(1)	0-(1)	0 very poor	1 lost
51	lait88	0.985	0-(2)	0-(1)	0 very poor	1 lost
52	Zapa	0	0-(0)	0-(0)	0 very poor	
53	Beerus1994	0	0-(0)	0-(0)	0 very poor	
54	SammaX	0	0-(0)	0-(0)	0 very poor	
55	Riot	0	0-(0)	0-(0)	0 very poor	
