Rank	Nickname	Points	Rounds	Games	Activity	Streak
1	Psykologi	5.451	20-(3)	10-(0)	3 poor	10 won
2	Rafka	5.011	19-(4)	9-(1)	6 mediocre	8 won
3	chuvash	4.99	22-(4)	10-(1)	10 good	1 lost
4	Silaneo	4.565	24-(43)	9-(18)	15 excellent!!	1 won
5	djongador	3.642	19-(20)	7-(9)	7 mediocre	2 won
6	Master	3.277	10-(2)	5-(0)	1 very poor	5 won
7	StJimmy	2.82	8-(16)	2-(7)	9 good	1 won
8	Perdunok	2.44	24-(32)	11-(12)	7 mediocre	2 won
9	EPI	2.344	16-(19)	7-(9)	11 very good!	2 lost
10	Jago	1.889	2-(2)	1-(1)	1 very poor	1 won
11	Leoric	1.842	2-(1)	1-(0)	1 very poor	1 won
12	Kayz	1.574	2-(0)	1-(0)	0 very poor	1 won
13	Kilobyte	1.245	1-(4)	0-(2)	1 very poor	2 lost
14	Dieego98	1.231	4-(5)	1-(2)	3 poor	1 lost
15	DurczyN	0.937	1-(4)	0-(2)	2 poor	2 lost
16	FrancisNgannoy	0.665	0-(2)	0-(1)	1 very poor	1 lost
17	SIBASA	0.58	3-(4)	1-(2)	1 very poor	2 lost
18	Ledan	0.572	0-(2)	0-(1)	1 very poor	1 lost
19	Jexusjex	0.48	0-(3)	0-(2)	2 poor	2 lost
20	Ypslon	0.329	1-(2)	0-(1)	0 very poor	1 lost
21	Szwagier	0.246	0-(1)	0-(1)	1 very poor	1 lost
22	Puschkin	0.199	0-(2)	0-(1)	1 very poor	1 lost
23	Ferenando	0.121	0-(1)	0-(1)	0 very poor	1 lost
24	CzarnyKot	0.091	0-(2)	0-(1)	0 very poor	1 lost
